customer_id,age,gender,region,plan,tenure_months,monthly_charges,total_charges,logins_last_30d,features_used,support_tickets,nps_score,last_login_days_ago,email_open_rate,contract_type,payment_method,payment_failures,churn_probability,churned
CUS00031,48,Non-binary,Central,Premium,29,89.14,2398.34,42,11,6,10,21,0.84,Month-to-month,Credit card,3,0.5212,1
CUS00032,27,Non-binary,West,Basic,60,17.73,1000.97,21,13,6,3,53,0.25,Month-to-month,Check,0,0.2978,0
CUS00033,56,Male,East,Basic,9,26.72,250.08,12,14,0,8,19,0.24,Two year,Credit card,4,0.5803,1
CUS00034,38,Female,South,Premium,15,78.66,1139.47,59,5,6,5,25,0.08,Month-to-month,Credit card,2,0.6018,1
CUS00035,65,Non-binary,North,Premium,6,82.23,469.3,21,1,6,6,13,0.43,One year,Check,1,0.391,0
CUS00036,63,Female,Central,Premium,62,95.55,5417.36,15,14,1,3,57,0.24,Two year,Check,2,0.2956,0
CUS00037,23,Female,East,Basic,63,18.18,1175.19,44,15,4,7,1,0.52,Month-to-month,Credit card,1,0.1319,0
CUS00038,37,Non-binary,West,Standard,58,32.79,1879.68,19,11,5,6,70,0.53,Two year,PayPal,2,0.1117,0
CUS00039,51,Female,East,Standard,30,35.78,1027.43,48,12,2,2,27,0.74,One year,PayPal,0,0.1028,0
CUS00040,45,Male,East,Basic,69,16.9,1059.32,60,3,7,0,1,0.57,Two year,Check,3,0.0291,0
CUS00041,43,Male,North,Standard,62,31.96,1912.97,43,1,2,1,72,0.95,Month-to-month,Bank transfer,0,0.2601,0
CUS00042,60,Non-binary,South,Premium,49,111.61,5731.43,19,10,0,8,12,0.95,Month-to-month,Bank transfer,2,0.6518,1
CUS00043,64,Male,South,Basic,23,23.28,528.95,30,5,0,2,36,0.71,Two year,Credit card,1,0.4298,0
CUS00044,62,Non-binary,South,Standard,15,49.43,752.81,4,1,2,3,76,0.75,One year,Check,0,0.5753,1
CUS00045,51,Non-binary,East,Standard,35,44.81,1345.6,27,12,5,8,32,0.03,Month-to-month,Credit card,2,0.4263,0
CUS00046,33,Female,Central,Standard,36,47.56,1623.72,5,8,5,5,42,0.32,Month-to-month,Bank transfer,2,0.7408,1
CUS00047,48,Non-binary,West,Standard,52,46.5,2207.4,20,2,6,7,0,0.66,Two year,Check,0,0.1964,0
CUS00048,53,Non-binary,West,Basic,27,19.01,526.7,31,2,0,9,77,0.8,Month-to-month,PayPal,4,0.8639,1
CUS00049,22,Non-binary,West,Basic,29,29.88,756.9,53,3,7,10,37,0.51,One year,Check,3,0.3227,0
CUS00050,57,Male,West,Basic,66,26.19,1736.38,54,7,5,7,34,0.82,One year,PayPal,4,0.0736,0
CUS00051,59,Non-binary,West,Basic,58,23.08,1283.34,29,15,5,2,89,0.24,Two year,Bank transfer,3,0.318,0
CUS00052,46,Female,South,Standard,5,58.96,256.5,54,8,1,7,58,0.02,Month-to-month,Check,1,0.7691,1
CUS00053,26,Female,East,Standard,51,55.55,2895.0,24,6,7,7,4,0.62,Month-to-month,PayPal,1,0.5548,1
CUS00054,28,Non-binary,North,Standard,22,57.1,1267.79,18,6,5,5,18,0.24,Two year,Bank transfer,1,0.2971,0
CUS00055,33,Male,Central,Standard,31,47.49,1439.18,29,5,0,6,36,0.68,Month-to-month,Credit card,3,0.9093,1
CUS00056,41,Non-binary,West,Standard,59,35.98,2009.55,15,7,5,8,37,0.99,One year,Credit card,3,0.1382,0
CUS00057,39,Male,Central,Basic,64,27.49,1576.43,51,6,3,9,24,0.62,Month-to-month,Credit card,0,0.1772,0
CUS00058,59,Female,South,Basic,38,19.9,761.72,56,6,8,7,34,0.83,One year,Check,2,0.1886,0
CUS00059,43,Male,West,Basic,19,26.31,492.33,25,14,8,4,11,0.79,Month-to-month,PayPal,4,0.7987,1
CUS00060,65,Female,Central,Standard,48,37.01,1824.17,35,6,3,9,8,0.64,Two year,PayPal,3,0.1731,0
CUS00061,29,Male,North,Basic,39,29.94,1118.05,24,8,5,9,89,0.95,Two year,Bank transfer,3,0.2924,0
CUS00062,61,Female,East,Basic,48,18.26,808.59,43,6,8,9,45,0.06,One year,Bank transfer,0,0.0533,0
CUS00063,51,Male,South,Premium,3,119.33,360.64,13,2,8,2,75,0.22,Month-to-month,PayPal,1,0.9799,1
CUS00064,39,Male,South,Premium,33,111.99,3238.74,22,13,3,8,41,0.02,One year,Credit card,1,0.2624,0
CUS00065,48,Non-binary,North,Basic,61,21.72,1245.96,14,10,0,10,84,0.52,Two year,Credit card,0,0.3304,0
CUS00066,49,Non-binary,North,Standard,57,32.42,1595.02,17,10,8,10,41,0.38,One year,Check,4,0.2227,0
CUS00067,60,Female,North,Basic,71,25.81,1641.38,21,14,7,5,53,0.73,One year,Check,2,0.0928,0
CUS00068,31,Non-binary,West,Basic,12,27.48,329.02,51,3,8,,75,0.96,One year,Credit card,3,0.3572,0
CUS00069,44,Non-binary,West,Basic,37,24.01,792.91,42,8,3,0,44,0.85,One year,Credit card,2,0.0801,0
CUS00070,57,Non-binary,Central,Premium,4,101.61,347.83,17,12,4,4,44,0.01,Month-to-month,Check,0,0.8449,1
CUS00071,31,Non-binary,North,Basic,68,18.23,1145.44,46,6,1,,19,0.16,Month-to-month,Credit card,2,0.1397,0
CUS00072,60,Female,West,Standard,28,33.41,848.15,43,10,7,7,85,0.31,Month-to-month,Check,4,0.7599,1
CUS00073,25,Male,South,Standard,28,52.92,1295.05,31,12,6,1,16,0.38,Month-to-month,PayPal,0,0.4089,0
CUS00074,49,Male,West,Basic,41,23.64,904.82,7,7,0,4,21,0.8,Two year,PayPal,0,0.3076,0
CUS00075,49,Male,South,Standard,52,41.87,1998.49,21,13,2,0,65,0.63,Month-to-month,PayPal,2,0.5241,1
CUS00076,31,Male,North,Basic,33,17.96,581.48,11,13,7,6,72,0.76,Two year,PayPal,2,0.1937,0
CUS00077,31,Female,North,Standard,57,53.89,2827.18,4,5,7,6,4,0.06,One year,Credit card,0,0.1641,0
CUS00078,51,Non-binary,Central,Basic,58,28.64,1612.95,32,3,0,6,13,0.81,One year,Credit card,4,0.1052,0
CUS00079,63,Male,North,Basic,57,29.86,1570.59,58,5,6,5,43,0.68,Month-to-month,PayPal,0,0.2245,0
CUS00080,46,Female,East,Premium,20,68.49,1260.17,41,12,6,1,76,0.71,Month-to-month,PayPal,4,0.8582,1
CUS00081,46,Non-binary,East,Basic,68,16.4,951.99,19,3,3,4,62,0.19,Month-to-month,Bank transfer,0,0.3913,0
CUS00082,54,Non-binary,Central,Basic,44,28.15,1091.02,11,14,2,10,56,0.04,One year,Bank transfer,3,0.4869,0
CUS00083,61,Female,West,Basic,69,18.59,1322.21,12,6,7,6,36,0.78,Two year,Bank transfer,1,0.1569,0
CUS00084,38,Male,West,Standard,71,51.34,3189.26,5,13,2,3,57,0.91,Month-to-month,Check,0,0.4226,0
CUS00085,36,Female,East,Basic,54,15.8,894.93,23,4,0,4,12,0.84,One year,Bank transfer,1,0.2612,0
CUS00086,52,Non-binary,South,Standard,58,57.18,2962.02,9,9,8,5,14,0.78,Month-to-month,PayPal,0,0.6479,1
CUS00087,25,Male,West,Premium,59,89.99,5082.22,40,9,3,10,18,0.29,Month-to-month,PayPal,1,0.3184,0
CUS00088,64,Male,Central,Standard,9,46.32,396.67,1,7,7,,81,0.39,One year,PayPal,0,0.6744,1
CUS00089,44,Male,East,Basic,14,26.57,319.48,34,6,2,9,59,0.98,Two year,Bank transfer,1,0.5522,1
CUS00090,51,Male,East,Basic,6,26.87,147.04,25,14,8,6,32,0.04,Month-to-month,PayPal,2,0.8431,1
CUS00091,25,Non-binary,East,Standard,16,43.11,646.96,24,6,2,6,88,0.5,One year,Credit card,3,0.7046,1
CUS00092,33,Non-binary,East,Standard,14,49.83,677.06,27,3,7,4,57,0.04,One year,Check,2,0.6433,1
CUS00093,62,Male,North,Standard,47,52.5,2112.74,54,10,7,,16,0.07,One year,PayPal,3,0.1226,0
CUS00094,31,Non-binary,West,Standard,48,32.31,1432.07,20,11,4,2,14,0.03,Month-to-month,Check,4,0.529,1
CUS00095,46,Non-binary,North,Standard,34,36.44,1225.08,31,4,1,1,9,0.45,Two year,Credit card,2,0.1325,0
CUS00096,57,Non-binary,East,Standard,21,57.82,1224.83,32,4,1,2,17,0.24,Two year,Credit card,2,0.2129,0
CUS00097,57,Non-binary,East,Standard,71,56.53,3731.2,45,12,7,7,52,0.77,Month-to-month,Bank transfer,2,0.2706,0
CUS00098,65,Non-binary,East,Basic,71,24.6,1635.73,58,14,0,0,66,0.15,Month-to-month,Bank transfer,2,0.1146,0
CUS00099,36,Female,Central,Standard,11,49.05,472.12,19,10,8,0,64,0.64,Month-to-month,Bank transfer,4,0.9017,1
CUS00100,58,Male,North,Basic,6,29.23,156.47,36,7,0,6,80,0.55,One year,Check,1,0.2798,0
CUS00101,65,Female,East,Standard,10,34.74,327.56,21,10,2,4,40,0.73,One year,Check,1,0.3624,0
CUS00102,28,Female,South,Standard,16,37.44,543.95,24,14,6,2,20,0.81,One year,Bank transfer,1,0.1596,0
CUS00103,53,Non-binary,West,Standard,40,32.7,1231.41,15,4,5,,6,0.28,Two year,PayPal,4,0.3548,0
CUS00104,30,Female,East,Standard,47,31.53,1367.07,18,2,6,7,57,0.76,One year,Credit card,1,0.2795,0
CUS00105,28,Female,East,Standard,72,52.65,3608.18,32,1,0,,17,0.71,Two year,Check,1,0.059,0
CUS00106,42,Non-binary,East,Basic,51,29.86,1396.88,53,9,8,6,90,0.56,Two year,Credit card,2,0.1166,0
CUS00107,43,Non-binary,North,Standard,40,51.76,1770.87,30,5,3,10,6,0.58,Month-to-month,Check,1,0.5932,1
CUS00108,58,Non-binary,North,Basic,3,21.62,57.78,32,13,7,10,7,0.71,Month-to-month,PayPal,3,0.6676,1
CUS00109,55,Female,East,Basic,59,28.68,1699.56,46,11,4,8,61,0.19,Month-to-month,PayPal,4,0.3512,0
CUS00110,41,Female,South,Standard,41,46.81,1908.33,18,2,8,5,50,0.82,Month-to-month,PayPal,0,0.9023,1
CUS00111,40,Non-binary,North,Standard,57,52.42,3034.52,17,15,8,10,34,0.14,Month-to-month,Bank transfer,0,0.4113,0
CUS00112,62,Male,North,Basic,53,19.95,927.82,35,15,2,5,83,0.94,Two year,Check,1,0.0648,0
CUS00113,40,Female,East,Basic,12,24.78,303.33,2,15,2,5,22,0.93,Month-to-month,Check,3,0.8698,1
CUS00114,40,Male,North,Standard,14,40.05,548.51,33,8,2,7,59,0.27,Month-to-month,PayPal,1,0.8553,1
CUS00115,51,Non-binary,East,Basic,2,26.05,52.18,11,10,6,5,65,0.33,Two year,Credit card,1,0.7383,1
CUS00116,37,Male,East,Standard,31,38.01,1138.83,36,1,4,9,46,0.69,Month-to-month,Credit card,3,0.7119,1
CUS00117,41,Male,West,Premium,40,116.44,4301.33,14,4,2,6,19,0.45,One year,Check,4,0.7497,1
CUS00118,64,Male,South,Premium,11,81.71,928.87,7,1,8,7,25,0.57,Month-to-month,Bank transfer,2,0.8981,1
CUS00119,55,Female,North,Basic,63,16.36,969.55,32,7,7,8,7,0.56,One year,Credit card,3,0.0933,0
CUS00120,35,Non-binary,North,Basic,55,20.17,1150.3,4,15,7,,36,0.41,Month-to-month,Check,2,0.5896,1
CUS00121,46,Female,West,Standard,11,49.85,537.77,22,2,2,7,50,0.53,Month-to-month,Credit card,0,0.9037,1
CUS00122,56,Female,Central,Standard,30,40.38,1256.81,46,13,1,,84,0.42,Month-to-month,Bank transfer,1,0.5081,1
CUS00123,26,Male,Central,Basic,58,23.97,1387.63,25,8,3,7,27,0.75,Month-to-month,Bank transfer,4,0.6093,1
CUS00124,58,Female,Central,Premium,42,119.14,4774.95,26,5,4,,71,0.95,Month-to-month,Check,4,0.9045,1
CUS00125,53,Male,East,Standard,68,42.49,2673.46,48,9,7,2,28,0.3,Month-to-month,Check,0,0.0737,0
CUS00126,57,Non-binary,South,Standard,32,39.91,1200.44,23,2,8,10,24,0.05,Two year,Credit card,0,0.199,0
CUS00127,34,Non-binary,Central,Basic,62,18.13,1159.8,13,15,3,10,15,0.75,Two year,Bank transfer,4,0.108,0
CUS00128,37,Non-binary,East,Standard,49,49.46,2234.33,56,8,7,0,60,0.76,One year,Bank transfer,2,0.0861,0
CUS00129,42,Female,North,Premium,29,93.2,2613.08,46,7,4,1,25,0.33,Two year,Bank transfer,3,0.1177,0
CUS00130,43,Female,West,Standard,59,53.85,3158.29,31,3,8,9,7,0.52,Month-to-month,Credit card,0,0.364,0
CUS00131,48,Male,South,Basic,20,15.14,294.8,42,15,7,9,62,0.02,Two year,Credit card,0,0.1191,0
CUS00132,40,Male,Central,Standard,23,32.89,672.04,33,5,5,3,50,0.08,Two year,Check,4,0.3668,0
CUS00133,37,Non-binary,South,Standard,11,55.75,532.73,24,7,8,6,7,0.64,Month-to-month,Credit card,3,0.8967,1
CUS00134,43,Non-binary,North,Premium,6,101.54,586.92,17,1,1,9,35,0.9,Month-to-month,Bank transfer,2,0.8896,1
CUS00135,23,Male,Central,Basic,51,28.93,1421.34,54,7,8,4,49,0.76,Month-to-month,Credit card,4,0.4939,0
CUS00136,28,Female,South,Basic,44,24.08,1105.91,20,1,4,6,62,0.23,Two year,Check,1,0.2281,0
CUS00137,65,Non-binary,West,Basic,38,26.97,902.74,45,13,2,10,49,0.32,Month-to-month,Credit card,0,0.4943,0
CUS00138,39,Male,South,Basic,24,21.46,448.42,5,6,8,0,76,0.6,One year,Check,0,0.4872,0
CUS00139,40,Female,West,Basic,72,28.58,1818.89,24,3,2,3,38,0.27,Month-to-month,Credit card,1,0.3041,0
CUS00140,52,Male,East,Standard,32,44.87,1351.95,8,5,0,5,42,0.84,Two year,PayPal,3,0.5065,1
CUS00141,43,Female,Central,Basic,39,19.81,705.25,25,6,4,10,88,0.63,Month-to-month,PayPal,3,0.7311,1
CUS00142,45,Male,Central,Basic,70,17.7,1233.35,60,12,3,6,37,0.83,Month-to-month,Check,3,0.3007,0
CUS00143,30,Non-binary,East,Basic,33,24.88,710.03,38,8,6,7,64,0.92,Two year,Credit card,2,0.2098,0
CUS00144,60,Non-binary,North,Basic,32,24.86,683.24,41,11,6,4,55,0.11,Month-to-month,PayPal,1,0.3373,0
CUS00145,54,Non-binary,Central,Premium,29,106.34,2984.31,32,3,5,,61,0.1,Two year,Credit card,0,0.5872,1
CUS00146,44,Female,East,Standard,27,40.45,1086.03,28,6,1,3,5,0.81,Month-to-month,Credit card,2,0.4361,0
CUS00147,63,Male,South,Basic,67,17.62,1229.76,14,13,6,9,23,0.19,Two year,Check,0,0.0731,0
CUS00148,50,Non-binary,West,Standard,1,36.17,36.59,4,10,1,7,23,0.37,Month-to-month,Check,0,0.625,1
CUS00149,38,Non-binary,West,Premium,41,95.22,3590.08,54,8,2,9,90,0.8,Month-to-month,Bank transfer,2,0.721,1
CUS00150,33,Female,South,Premium,50,83.02,3682.56,40,9,2,7,21,0.49,Month-to-month,Bank transfer,2,0.5221,1
CUS00151,50,Non-binary,North,Standard,2,35.85,69.0,41,8,6,9,62,0.42,Two year,Check,1,0.4123,0
CUS00152,36,Female,North,Standard,29,35.05,1014.93,49,8,8,7,14,0.57,One year,PayPal,4,0.1952,0
CUS00153,24,Non-binary,West,Premium,28,109.8,3075.23,19,14,0,6,33,0.35,Month-to-month,Check,0,0.764,1
CUS00154,59,Non-binary,East,Premium,55,72.4,3549.51,3,10,5,7,35,0.6,Month-to-month,PayPal,2,0.5975,1
CUS00155,40,Non-binary,East,Premium,13,84.7,948.99,17,14,2,10,16,0.25,One year,Bank transfer,3,0.2951,0
CUS00156,39,Non-binary,West,Standard,58,53.84,2905.91,47,5,5,6,62,0.33,Month-to-month,Credit card,3,0.5474,1
CUS00157,62,Non-binary,East,Basic,69,20.97,1373.05,20,14,4,4,70,0.58,Two year,PayPal,0,0.1655,0
CUS00158,51,Male,North,Basic,57,21.85,1306.65,58,3,4,1,35,0.09,One year,PayPal,0,0.0658,0
CUS00159,45,Non-binary,South,Basic,51,24.38,1163.61,5,12,1,,27,0.48,Month-to-month,Bank transfer,4,0.643,1
CUS00160,43,Male,West,Basic,62,16.06,866.76,20,6,4,1,48,0.77,Month-to-month,Bank transfer,0,0.4108,0
CUS00161,55,Non-binary,North,Premium,22,97.68,1891.68,26,10,7,2,11,0.9,Month-to-month,Credit card,4,0.8383,1
CUS00162,49,Female,South,Basic,36,24.67,883.0,18,13,0,9,38,0.21,Month-to-month,Check,2,0.4854,0
CUS00163,63,Male,South,Standard,50,44.99,2149.75,0,6,5,1,49,0.86,Two year,PayPal,4,0.3877,0
CUS00164,26,Male,Central,Basic,2,18.93,38.16,32,5,8,5,54,0.7,Month-to-month,Bank transfer,2,0.73,1
CUS00165,27,Female,North,Premium,27,79.61,2079.16,48,14,1,3,89,0.44,Month-to-month,Credit card,1,0.7067,1
CUS00166,51,Non-binary,Central,Basic,40,24.99,852.19,8,12,0,1,63,0.95,One year,Bank transfer,2,0.3694,0
CUS00167,30,Non-binary,East,Basic,4,20.03,72.32,36,11,1,6,58,0.51,Month-to-month,Check,4,0.82,1
CUS00168,28,Non-binary,North,Basic,66,15.04,852.87,23,7,2,1,4,0.55,Two year,Bank transfer,2,0.0957,0
CUS00169,37,Female,East,Standard,10,33.58,288.97,14,13,8,,51,0.07,Two year,PayPal,2,0.4098,0
CUS00170,22,Female,South,Standard,39,37.28,1518.43,49,13,3,10,69,0.76,Month-to-month,Bank transfer,0,0.5067,1
CUS00171,48,Male,South,Premium,45,60.58,2499.84,48,11,6,10,39,0.1,Month-to-month,Check,3,0.7217,1
CUS00172,31,Non-binary,East,Basic,6,28.82,171.22,23,8,1,8,12,0.51,Two year,Credit card,4,0.3876,0
CUS00173,58,Male,West,Basic,31,19.38,557.88,53,12,5,4,57,0.27,Month-to-month,Bank transfer,1,0.453,0
CUS00174,31,Male,South,Standard,60,33.62,2025.4,28,5,7,3,15,0.09,One year,Credit card,1,0.0579,0
CUS00175,42,Male,North,Basic,46,20.94,976.74,11,1,6,6,71,0.75,Month-to-month,Credit card,3,0.9065,1
CUS00176,29,Male,North,Basic,17,17.97,316.95,5,10,4,0,2,1.0,Month-to-month,Check,1,0.8264,1
CUS00177,27,Female,North,Basic,60,15.76,940.76,31,1,6,9,54,0.17,Month-to-month,Bank transfer,2,0.4805,0
CUS00178,24,Non-binary,Central,Premium,32,112.97,3419.13,5,5,6,1,53,0.2,Month-to-month,Credit card,3,0.9789,1
CUS00179,44,Female,Central,Standard,45,45.07,1796.87,20,10,3,,35,0.06,Two year,PayPal,4,0.592,1
CUS00180,28,Male,South,Standard,69,57.52,4164.46,14,10,6,4,22,0.18,One year,PayPal,4,0.217,0
CUS00181,23,Non-binary,East,Premium,19,119.28,2325.98,31,9,4,1,62,0.04,Month-to-month,Bank transfer,4,0.9331,1
CUS00182,22,Female,Central,Basic,17,20.11,349.95,3,1,2,8,90,0.92,Month-to-month,PayPal,0,0.9444,1
CUS00183,45,Non-binary,West,Premium,13,118.55,1535.71,27,13,7,9,40,0.17,One year,Bank transfer,4,0.7297,1
CUS00184,40,Male,South,Basic,51,27.76,1254.95,20,15,3,9,72,0.1,Two year,Bank transfer,2,0.1379,0
CUS00185,26,Male,East,Standard,22,58.89,1274.86,46,15,5,6,1,0.27,Month-to-month,Credit card,2,0.5219,1
CUS00186,22,Male,West,Standard,54,56.54,2826.44,34,7,1,6,73,0.65,Month-to-month,Bank transfer,3,0.6899,1
CUS00187,26,Male,East,Basic,41,18.92,797.12,10,12,1,7,11,0.34,Two year,Credit card,3,0.2553,0
CUS00188,49,Male,North,Basic,43,18.08,773.09,46,9,4,9,36,0.3,Month-to-month,Credit card,3,0.4026,0
CUS00189,58,Non-binary,West,Basic,7,20.41,140.36,38,8,3,0,3,0.21,One year,Credit card,3,0.3311,0
CUS00190,47,Female,West,Standard,12,41.63,462.74,11,8,0,3,56,0.47,Month-to-month,PayPal,4,0.8514,1
CUS00191,25,Male,North,Basic,45,27.12,1092.87,3,14,6,7,53,0.97,Two year,Bank transfer,3,0.3254,0
CUS00192,24,Non-binary,Central,Premium,19,70.37,1399.7,13,13,3,1,5,0.42,Two year,Bank transfer,1,0.4001,0
CUS00193,60,Female,East,Basic,12,20.82,226.17,29,15,0,10,79,0.59,Two year,Credit card,3,0.4645,0
CUS00194,59,Male,North,Premium,13,112.81,1504.04,16,7,7,8,77,0.47,Month-to-month,PayPal,3,0.9772,1
CUS00195,31,Non-binary,Central,Standard,5,56.37,242.35,30,15,4,4,2,0.34,One year,PayPal,2,0.463,0
CUS00196,65,Male,South,Basic,39,29.61,1043.8,26,10,1,2,56,0.21,Two year,Check,4,0.1567,0
CUS00197,45,Male,Central,Basic,9,19.67,180.62,56,10,0,1,24,0.88,Month-to-month,Credit card,1,0.4977,0
CUS00198,45,Non-binary,South,Standard,48,45.15,1895.81,1,4,5,6,76,0.45,Two year,PayPal,2,0.5066,1
CUS00199,32,Female,North,Standard,4,34.89,145.56,54,4,3,9,26,0.27,Two year,Credit card,0,0.1645,0
CUS00200,33,Non-binary,North,Basic,33,24.13,789.82,17,7,6,4,58,0.25,Two year,PayPal,4,0.474,0
CUS00201,61,Female,Central,Basic,1,22.67,20.97,41,10,4,3,87,0.11,Month-to-month,PayPal,2,0.7094,1
CUS00202,38,Non-binary,East,Basic,20,22.76,464.97,51,10,6,9,40,0.68,Month-to-month,Check,2,0.3768,0
CUS00203,38,Female,West,Standard,5,59.84,274.86,45,4,8,9,60,0.91,One year,PayPal,1,0.6498,1
CUS00204,33,Female,North,Standard,17,51.76,908.54,60,11,5,9,11,0.22,Month-to-month,PayPal,3,0.3261,0
CUS00205,43,Female,East,Premium,38,63.22,2346.82,37,10,1,6,24,0.5,Two year,PayPal,3,0.3036,0
CUS00206,30,Male,East,Standard,59,55.87,2855.16,21,11,2,4,81,0.06,Two year,PayPal,1,0.2757,0
CUS00207,32,Non-binary,South,Standard,12,43.01,482.99,30,7,0,,68,0.2,One year,Credit card,2,0.4395,0
CUS00208,23,Non-binary,North,Basic,29,25.4,682.61,37,5,2,0,5,0.3,One year,Check,4,0.141,0
CUS00209,60,Non-binary,East,Standard,18,57.04,911.4,60,15,6,,29,0.22,Month-to-month,Bank transfer,0,0.3831,0
CUS00210,45,Non-binary,North,Standard,33,48.69,1381.17,6,11,0,,88,0.12,Two year,Check,0,0.3708,0
CUS00211,57,Female,West,Basic,27,25.43,674.48,42,9,4,8,77,0.7,Two year,Credit card,4,0.3252,0
CUS00212,29,Male,West,Basic,26,26.67,639.05,26,5,2,,70,0.5,Month-to-month,Check,2,0.7423,1
CUS00213,37,Male,North,Basic,15,27.53,358.45,32,2,1,3,82,0.23,One year,PayPal,3,0.7353,1
CUS00214,24,Female,East,Standard,55,32.85,1552.32,54,3,2,4,45,0.89,One year,Credit card,2,0.1044,0
CUS00215,43,Male,North,Standard,52,38.15,2023.74,51,7,2,0,16,0.7,Month-to-month,Bank transfer,0,0.1401,0
CUS00216,58,Non-binary,West,Basic,49,26.69,1341.8,46,15,2,6,62,0.11,Two year,Check,0,0.0971,0
CUS00217,26,Female,East,Basic,68,26.51,1884.84,42,14,5,7,66,0.69,Month-to-month,Check,1,0.1554,0
CUS00218,63,Female,South,Premium,7,90.33,596.81,31,14,2,0,62,0.32,One year,PayPal,0,0.4379,0
CUS00219,54,Male,Central,Standard,52,32.36,1623.16,5,14,7,6,40,0.12,Two year,Credit card,0,0.1553,0
CUS00220,57,Male,North,Premium,39,99.28,3644.41,21,6,0,2,58,0.33,Two year,PayPal,3,0.4982,0
CUS00221,29,Male,South,Basic,44,20.33,858.33,23,12,1,,21,0.49,Two year,Credit card,2,0.109,0
CUS00222,47,Male,West,Basic,44,16.62,744.07,37,2,7,6,84,0.59,Month-to-month,Check,0,0.5537,1
